device,name,admin_status,oper_status,description,speed
DA-MRL-SW-Chassis,vcp-255/0/14,up,up,None,10000mbps
DA-MRL-SW-Chassis,vcp-255/0/15,up,up,None,10000mbps
DA-MRL-SW-Chassis,ge-0/0/0,up,up,Desk_49 - Server Atoll,1000mbps
DA-MRL-SW-Chassis,gr-0/0/0,up,up,None,800mbps
DA-MRL-SW-Chassis,pfe-0/0/0,up,up,None,800mbps
DA-MRL-SW-Chassis,pfh-0/0/0,up,up,None,800mbps
DA-MRL-SW-Chassis,xe-0/0/1,up,up,DA-MRL-RED-SW0 xe-0/0/0,10Gbps
DA-MRL-SW-Chassis,ge-0/0/2,up,up,Lab_007,1000mbps
DA-MRL-SW-Chassis,ge-0/0/4,up,up,DA-MRL-HOST2 mgmt,1000mbps
DA-MRL-SW-Chassis,xe-0/0/5,up,down,New server,10Gbps
DA-MRL-SW-Chassis,ge-0/0/6,up,up,DA_HQ_FW ge-0/0/4,1000mbps
DA-MRL-SW-Chassis,ge-0/0/8,up,down,Lab_011,1000mbps
DA-MRL-SW-Chassis,ge-0/0/10,up,down,Lab_055,1000mbps
DA-MRL-SW-Chassis,xe-0/0/11,up,up,DA-MRL-HOST2 ens5f0,10Gbps
DA-MRL-SW-Chassis,xe-0/0/12,up,up,MRL-FW-Cluster node0 xe-0/0/16,10Gbps
DA-MRL-SW-Chassis,ge-0/0/16,up,up,QNAP_NAS,1000mbps
DA-MRL-SW-Chassis,xe-0/0/17,up,up,DA-MRL-HOST2 ens7f0,10Gbps
DA-MRL-SW-Chassis,ge-0/0/18,up,up,DA-MRL-BLUE-SW0 ge-0/0/6,1000mbps
DA-MRL-SW-Chassis,xe-0/0/19,up,up,None,10Gbps
DA-MRL-SW-Chassis,xe-0/0/20,up,up,None,10Gbps
DA-MRL-SW-Chassis,ge-0/0/21,up,up,SAN_Switch_Mgmt,1000mbps
DA-MRL-SW-Chassis,xe-0/0/22,up,up,Host 1 - p1p1,10Gbps
DA-MRL-SW-Chassis,ge-0/0/23,up,up,SAN_Mgmt,1000mbps
DA-MRL-SW-Chassis,ge-0/1/0,up,up,DA-MRL-SYSV-FW0 mgmt,1000mbps
DA-MRL-SW-Chassis,ge-0/1/2,up,up,Grafana Server - Shailesh B,1000mbps
DA-MRL-SW-Chassis,ge-0/1/4,up,down,Lab_102 R&D side,1000mbps
DA-MRL-SW-Chassis,ge-0/1/6,up,down,Mavenir server 5 iDRAC,1000mbps
DA-MRL-SW-Chassis,ge-1/0/0,up,down,Lab_004,1000mbps
DA-MRL-SW-Chassis,pfe-1/0/0,up,up,None,800mbps
DA-MRL-SW-Chassis,pfh-1/0/0,up,up,None,800mbps
DA-MRL-SW-Chassis,xe-1/0/1,up,up,Casa 5GC server,10Gbps
DA-MRL-SW-Chassis,ge-1/0/2,up,up,Lab_003,1000mbps
