hostname,name,admin_status,oper_status
DA_HQ_SW_0,ge-0/0/0,up,down
DA_HQ_SW_0,pfe-0/0/0,up,up
DA_HQ_SW_0,pfh-0/0/0,up,up
DA_HQ_SW_0,ge-0/0/1,up,down
DA_HQ_SW_0,ge-0/0/2,up,down
DA_HQ_SW_0,ge-0/0/3,up,down
DA_HQ_SW_0,ge-0/0/4,up,down
DA_HQ_SW_0,ge-0/0/5,up,down
DA_HQ_SW_0,ge-0/0/6,up,down
DA_HQ_SW_0,ge-0/0/7,up,down
DA_HQ_SW_0,ge-0/0/8,up,down
DA_HQ_SW_0,ge-0/0/9,up,down
DA_HQ_SW_0,ge-0/0/10,up,down
DA_HQ_SW_0,ge-0/0/11,up,down
DA_HQ_SW_0,ge-0/0/12,up,up
DA_HQ_SW_0,ge-0/0/13,up,up
DA_HQ_SW_0,ge-0/0/14,up,down
DA_HQ_SW_0,ge-0/0/15,up,up
DA_HQ_SW_0,ge-0/0/16,up,down
DA_HQ_SW_0,ge-0/0/17,up,up
DA_HQ_SW_0,ge-0/0/18,up,down
DA_HQ_SW_0,ge-0/0/19,up,up
DA_HQ_SW_0,ge-0/0/20,up,up
DA_HQ_SW_0,ge-0/0/21,up,up
DA_HQ_SW_0,ge-0/0/22,up,down
DA_HQ_SW_0,ge-0/0/23,up,up
DA_HQ_SW_0,ge-0/0/24,up,down
DA_HQ_SW_0,ge-0/0/25,up,up
DA_HQ_SW_0,ge-0/0/26,up,up
DA_HQ_SW_0,ge-0/0/27,up,up
DA_HQ_SW_0,ge-0/0/28,up,down
DA_HQ_SW_0,ge-0/0/29,up,up
DA_HQ_SW_0,ge-0/0/30,up,down
DA_HQ_SW_0,ge-0/0/31,up,down
DA_HQ_SW_0,ge-0/0/32,up,up
DA_HQ_SW_0,ge-0/0/33,up,up
DA_HQ_SW_0,ge-0/0/34,up,up
DA_HQ_SW_0,ge-0/0/35,up,down
DA_HQ_SW_0,ge-0/0/36,up,down
DA_HQ_SW_0,ge-0/0/37,up,down
DA_HQ_SW_0,ge-0/0/38,up,up
DA_HQ_SW_0,ge-0/0/39,up,down
DA_HQ_SW_0,ge-0/0/40,up,down
DA_HQ_SW_0,ge-0/0/41,up,down
DA_HQ_SW_0,ge-0/0/42,up,up
DA_HQ_SW_0,ge-0/0/43,up,down
DA_HQ_SW_0,ge-0/0/44,up,down
DA_HQ_SW_0,ge-0/0/45,up,up
DA_HQ_SW_0,ge-0/0/46,up,up
DA_HQ_SW_0,ge-0/0/47,up,up
DA_HQ_SW_0,xe-0/2/0,up,up
DA_HQ_SW_0,xe-0/2/1,up,up
DA_HQ_SW_0,xe-0/2/2,up,up
DA_HQ_SW_0,xe-0/2/3,up,up
DA_HQ_SW_0,ae0,up,up
DA_HQ_SW_0,bme0,up,up
DA_HQ_SW_0,cbp0,up,up
DA_HQ_SW_0,dsc,up,up
DA_HQ_SW_0,esi,up,up
DA_HQ_SW_0,gre,up,up
DA_HQ_SW_0,ipip,up,up
DA_HQ_SW_0,irb,up,up
DA_HQ_SW_0,jsrv,up,up
DA_HQ_SW_0,lo0,up,up
DA_HQ_SW_0,lsi,up,up
DA_HQ_SW_0,me0,up,down
DA_HQ_SW_0,mtun,up,up
DA_HQ_SW_0,pimd,up,up
DA_HQ_SW_0,pime,up,up
DA_HQ_SW_0,pip0,up,up
DA_HQ_SW_0,tap,up,up
DA_HQ_SW_0,vme,up,down
DA_HQ_SW_0,vtep,up,up
