hostname,name,admin_status,oper_status,description,speed,link_mode,link_level_type
DA_R-D_SW_0,ge-0/0/0,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,pfe-0/0/0,up,up,None,800mbps,None,None
DA_R-D_SW_0,pfh-0/0/0,up,up,None,800mbps,None,None
DA_R-D_SW_0,ge-0/0/1,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/2,up,down,Lab 106,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/3,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/4,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/5,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/6,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/7,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/8,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/9,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/10,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/11,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/12,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/13,up,down,Lab 103,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/14,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/15,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/16,up,up,Stuart's Automation Lab - Netgear rack0,Auto,Full-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/17,up,up,Lab 117,Auto,Full-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/18,up,down,Lab 118,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/19,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/20,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/21,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/22,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,ge-0/0/23,up,down,None,Auto,Half-duplex,Ethernet
DA_R-D_SW_0,xe-0/1/3,up,up,DA_R-D_SW_1,10Gbps,None,Ethernet
DA_R-D_SW_0,bme0,up,up,None,None,None,Ethernet
DA_R-D_SW_0,cbp0,up,up,None,None,None,Ethernet
DA_R-D_SW_0,dsc,up,up,None,None,None,None
DA_R-D_SW_0,esi,up,up,None,Unlimited,None,VxLAN-Tunnel-Endpoint
DA_R-D_SW_0,gre,up,up,None,Unlimited,None,GRE
DA_R-D_SW_0,ipip,up,up,None,Unlimited,None,IP-over-IP
DA_R-D_SW_0,irb,up,up,None,None,None,Ethernet
DA_R-D_SW_0,jsrv,up,up,None,None,None,Ethernet
DA_R-D_SW_0,lo0,up,up,None,None,None,None
DA_R-D_SW_0,lsi,up,up,None,Unlimited,None,LSI
DA_R-D_SW_0,me0,up,down,None,None,None,Ethernet
DA_R-D_SW_0,mtun,up,up,None,Unlimited,None,GRE
DA_R-D_SW_0,pimd,up,up,None,Unlimited,None,PIM-Decapsulator
DA_R-D_SW_0,pime,up,up,None,Unlimited,None,PIM-Encapsulator
DA_R-D_SW_0,pip0,up,up,None,None,None,Ethernet
DA_R-D_SW_0,tap,up,up,None,Unlimited,None,Interface-Specific
DA_R-D_SW_0,vme,up,down,None,None,None,Mgmt-VLAN
DA_R-D_SW_0,vtep,up,up,None,Unlimited,None,VxLAN-Tunnel-Endpoint
