device,name,admin_status,oper_status,description,speed
DA_R-D_SW_0,ge-0/0/0,up,down,Lab_105,Auto
DA_R-D_SW_0,pfe-0/0/0,up,up,None,800mbps
DA_R-D_SW_0,pfh-0/0/0,up,up,None,800mbps
DA_R-D_SW_0,ge-0/0/1,up,down,Lab_097,Auto
DA_R-D_SW_0,ge-0/0/2,up,down,Lab_106,Auto
DA_R-D_SW_0,ge-0/0/3,up,down,Lab_098,Auto
DA_R-D_SW_0,ge-0/0/4,up,down,Lab_107,Auto
DA_R-D_SW_0,ge-0/0/5,up,down,Lab_099,Auto
DA_R-D_SW_0,ge-0/0/6,up,down,Lab_108,Auto
DA_R-D_SW_0,ge-0/0/7,up,down,Lab_100,Auto
DA_R-D_SW_0,ge-0/0/8,up,down,Lab_109,Auto
DA_R-D_SW_0,ge-0/0/9,up,up,Lab_101,Auto
DA_R-D_SW_0,ge-0/0/10,up,down,Lab_110,Auto
DA_R-D_SW_0,ge-0/0/11,up,down,Lab_102,Auto
DA_R-D_SW_0,ge-0/0/12,up,up,Fibrolan Switch (Steve) port 5,Auto
DA_R-D_SW_0,ge-0/0/13,up,down,Lab_103,Auto
DA_R-D_SW_0,ge-0/0/14,up,down,None,Auto
DA_R-D_SW_0,ge-0/0/15,up,down,Lab_104,Auto
DA_R-D_SW_0,ge-0/0/16,up,up,Stuart's Automation Lab - Netgear rack0,Auto
DA_R-D_SW_0,ge-0/0/17,up,up,Lab 117,Auto
DA_R-D_SW_0,ge-0/0/18,up,up,Lab_009 Support Lab,Auto
DA_R-D_SW_0,ge-0/0/19,up,down,None,Auto
DA_R-D_SW_0,ge-0/0/20,up,down,Lab_074 - Santosh Radisys Test,Auto
DA_R-D_SW_0,ge-0/0/21,up,down,None,Auto
DA_R-D_SW_0,ge-0/0/22,up,down,Lab_075 - Santosh Radisys Test,Auto
DA_R-D_SW_0,ge-0/0/23,up,down,None,Auto
DA_R-D_SW_0,xe-0/1/3,up,up,DA_R-D_SW_1,10Gbps
DA_R-D_SW_0,bme0,up,up,None,None
DA_R-D_SW_0,cbp0,up,up,None,None
DA_R-D_SW_0,dsc,up,up,None,None
DA_R-D_SW_0,esi,up,up,None,Unlimited
DA_R-D_SW_0,gre,up,up,None,Unlimited
DA_R-D_SW_0,ipip,up,up,None,Unlimited
DA_R-D_SW_0,irb,up,up,None,None
DA_R-D_SW_0,jsrv,up,up,None,None
DA_R-D_SW_0,lo0,up,up,None,None
DA_R-D_SW_0,lsi,up,up,None,Unlimited
DA_R-D_SW_0,me0,up,down,None,None
DA_R-D_SW_0,mtun,up,up,None,Unlimited
DA_R-D_SW_0,pimd,up,up,None,Unlimited
DA_R-D_SW_0,pime,up,up,None,Unlimited
DA_R-D_SW_0,pip0,up,up,None,None
DA_R-D_SW_0,tap,up,up,None,Unlimited
DA_R-D_SW_0,vme,up,down,None,None
DA_R-D_SW_0,vtep,up,up,None,Unlimited
