device,name,admin_status,oper_status,description,speed
MRL-SW-Chassis,vcp-255/0/14,up,up,None,10000mbps
MRL-SW-Chassis,vcp-255/0/15,up,up,None,10000mbps
MRL-SW-Chassis,gr-0/0/0,up,up,None,800mbps
MRL-SW-Chassis,pfe-0/0/0,up,up,None,800mbps
MRL-SW-Chassis,pfh-0/0/0,up,up,None,800mbps
MRL-SW-Chassis,xe-0/0/0,up,down,None,10Gbps
MRL-SW-Chassis,xe-0/0/1,up,up,ATT-SW xe-0/0/0,10Gbps
MRL-SW-Chassis,ge-0/0/2,up,down,Lab_005,1000mbps
MRL-SW-Chassis,xe-0/0/3,up,down,None,10Gbps
MRL-SW-Chassis,ge-0/0/4,up,up,Lab_007,1000mbps
MRL-SW-Chassis,xe-0/0/5,up,down,New server,10Gbps
MRL-SW-Chassis,ge-0/0/6,up,down,Lab_009,1000mbps
MRL-SW-Chassis,ge-0/0/8,up,down,Lab_011,1000mbps
MRL-SW-Chassis,xe-0/0/9,up,up,MRL-FW-Cluster node1 xe-5/0/16,10Gbps
MRL-SW-Chassis,ge-0/0/10,up,down,Lab_055-Host_3_IDRAC_temporary,1000mbps
MRL-SW-Chassis,xe-0/0/11,up,up,LACP AE1 Host_2_Mgmt,10Gbps
MRL-SW-Chassis,xe-0/0/12,up,up,MRL-FW-Cluster node0 xe-0/0/16,10Gbps
MRL-SW-Chassis,ge-0/0/13,up,up,DA-MRL-BLUE-HOST iDrac,1000mbps
MRL-SW-Chassis,ge-0/0/16,up,up,QNAP_NAS,1000mbps
MRL-SW-Chassis,xe-0/0/17,up,up,None,10Gbps
MRL-SW-Chassis,ge-0/0/18,up,up,None,1000mbps
MRL-SW-Chassis,xe-0/0/19,up,up,None,10Gbps
MRL-SW-Chassis,xe-0/0/20,up,up,None,10Gbps
MRL-SW-Chassis,ge-0/0/21,up,up,SAN_Switch_Mgmt,1000mbps
MRL-SW-Chassis,xe-0/0/22,up,up,Host 1 - p1p1,10Gbps
MRL-SW-Chassis,ge-0/0/23,up,up,SAN_Mgmt,1000mbps
MRL-SW-Chassis,ge-0/1/0,up,up,MRL-FW-Cluster node0 mgmt,1000mbps
MRL-SW-Chassis,ge-0/1/2,up,down,Host_3_IDRAC,1000mbps
MRL-SW-Chassis,ge-0/1/4,up,down,New server,1000mbps
MRL-SW-Chassis,ge-0/1/6,up,down,Opengear OOB gateway - Mgmt,1000mbps
MRL-SW-Chassis,xe-0/2/0,up,up,DA-MRL-BLUE-HOST data port 1,10Gbps
MRL-SW-Chassis,ge-1/0/0,up,down,Lab_004,1000mbps
